Unnamed: 0,Title,Price,Area,Category,Size,Bedrooms,Bathrooms,Price_Category,Price_per_sqft
0,"M City Serviced Residence Jalan Ampang 886sf, Fully Furnished Tenanted",690000,AMPANG,Apartments,886,2,2,Low,778.7810383747178
1,Cheapest fully furnished suria jelatek residence ampang hilir,420000,AMPANG,Apartments,858,3,2,Low,489.5104895104895
2,3bed 2bath Suria Jelatek Condo 5 min to LRT and KLCC,420000,AMPANG,Apartments,860,3,2,Low,488.3720930232558
3,"[30% Below,1037sf] Direct Subsale not Auction!! Arte Plus Jalan Ampang",568444,AMPANG,Apartments,1037,3,2,Low,548.1620057859209
4,HOT area | Tiara Ampang | Near Ampang Point | 1650sqft | BELOW MARKET,618000,AMPANG,Apartments,1650,4,2,Low,374.54545454545456
5,HOT area | City Garden Orchid Court | Taman Nirwana | Lower Floor Unit,428000,AMPANG,Apartments,1250,4,2,Low,342.4
6,100%LOAN SemiFurnish 705sf The Elements Condo Ampang KL City,450000,AMPANG,Apartments,705,1,1,Low,638.2978723404256
7,Tiara Duta Condo G Floor 3R2B Taman Dangan Jaya Ampang,368000,AMPANG,Apartments,957,3,2,Low,384.5350052246604
8,Cheapest Suria Jelatek Residence Ampang Hilir Close to LRT Station,525000,AMPANG,Apartments,1420,3,2,Low,369.71830985915494
9,1865sf LAKE VIEW Impiana On The Waterfront Condominium,680000,AMPANG,Apartments,1865,5,4,Low,364.6112600536193
10,FULLY FURNISHED Suria Jelatek Residence Condo Ampang Hilir KL,420000,AMPANG,Apartments,1420,3,2,Low,295.77464788732397
11,"VIEW LRT JELATEK I Suria Jelatek Residence, Jln Jelatek KL",530000,AMPANG,Apartments,1089,3,2,Low,486.6850321395776
12,Rumah Untuk Dijual,300000,AMPANG,Apartments,602,3,2,Low,498.33887043189367
13,Tara 33 Condo Ampang Hilir 2750sf Free Hold RENO SUPER BELOW MV,1300000,AMPANG,Apartments,2750,3,3,Low,472.72727272727275
14,Mei On The Madge Condo Duplex (Vista Permai Jalan Ampang Taman U Thant,1000000,AMPANG,Apartments,1882,5,3,Low,531.3496280552604
15,Luxury Condo nearby embassy,2488000,AMPANG,Apartments,2260,4,4,Low,1100.8849557522124
16,[Low Booking] Mei On The Madge Vista Permai Condominium Near KLCC,545000,AMPANG,Apartments,1000,3,2,Low,545.0
17,Awesome Offer Unit For Sale Grab It,920000,AMPANG,Apartments,1100,2,2,Low,836.3636363636364
18,MURAH Shop Apartment Pandan Mewah,220000,AMPANG,Apartments,750,3,1,Low,293.3333333333333
19,[BMV 44%] Astoria Ampang 747sf,392000,AMPANG,Apartments,747,2,2,Low,524.7657295850067
20,"Neu Suites 3rdNvenue, Embassy Row Ampang",459800,AMPANG,Apartments,430,2,2,Low,1069.3023255813953
21,Ampang Suria Jelatek Residence - 1420sf 2 carparks - Near LRT,600000,AMPANG,Apartments,1420,3,2,Low,422.53521126760563
22,BrandNew Complete HonResidence Ampang.3R3B 5MIN To KLCC+Cashback 120K,630000,AMPANG,Apartments,1335,3,3,Low,471.91011235955057
23,Cantik!!!Cantik!!!Full LoAN!!!3 CAR PARK,630000,AMPANG,Apartments,1300,3,3,Low,484.61538461538464
24,BELOW MARKET Suria Jelatek Ampang Hilir BUMI LOT 1Park Well Kept Cozy,415000,AMPANG,Apartments,860,3,2,Low,482.5581395348837
25,Fire sale mesra apartment ampang,200000,AMPANG,Apartments,750,3,2,Low,266.6666666666667
26,"Pandan Lakeview Apartment, Pandan Perdana Cheras Ampang",300000,AMPANG,Apartments,850,3,2,Low,352.94117647058823
27,AXIS CROWN Condo PANDAN INDAH AMPANG FOR SALE,380000,AMPANG,Apartments,890,2,2,Low,426.96629213483146
28,SpringVille Apartment Ukay Perdana Renovated & Below Value Bank Value,260000,AMPANG,Apartments,728,3,2,Low,357.14285714285717
29,"Suria Jelatek Residence, Kuala Lumpur (Near LRT Station) - MURAH",480000,AMPANG,Apartments,1089,3,2,Low,440.77134986225894
30,"FULLY FURNISHED NEAR LRT Suria Jelatek Residence, Jalan Jelatek, KL",430000,AMPANG,Apartments,858,3,2,Low,501.16550116550115
31,"[SPACIOUS LAYOUT] Sri Ampang Hilir Condominium, Ampang, Desa Pandan",400000,AMPANG,Apartments,1042,3,2,Low,383.8771593090211
32,Sri ampang hilir condominium [murah!!],400000,AMPANG,Apartments,1042,3,2,Low,383.8771593090211
33,BrandNew Complete Hon Residence Ampang 3R3B 5MIN To KLCC+Cashback 120K,630000,AMPANG,Apartments,1335,3,3,Low,471.91011235955057
34,Well maintained suria jelatek residence ampang hilir kl,620000,AMPANG,Apartments,1420,3,2,Low,436.61971830985914
35,"Arte Plus Condominium, Ampang (PRIVATE LIFT)",600000,AMPANG,Apartments,796,2,2,Low,753.7688442211055
36,The Atrium ampang,640500,AMPANG,Apartments,624,2,2,Low,1026.4423076923076
37,TIARA AMPANG CONDOMINIUM (Menara Jade) JALAN AMPANG,500000,AMPANG,Apartments,1217,3,2,Low,410.84634346754314
38,"Sri ANGSANA HILIR CONDO,DESA PANDAN",310000,AMPANG,Apartments,1045,3,2,Low,296.6507177033493
39,Below Market 52% | Arte Plus Arte + Jalan Ampang 1139sf,430000,AMPANG,Apartments,1139,3,2,Low,377.5241439859526
40,Liberty Arc Ampang Ukay KLCC View,308000,AMPANG,Apartments,450,1,1,Low,684.4444444444445
41,NEAR LRT FURNISHED Suria Jelatek Residence Jalan Ampang KL,469000,AMPANG,Apartments,908,3,2,Low,516.5198237885462
42,"OFFER Rm100 BOOKING,CASH BACK Rm40000,TITIWANGSA RESORT CONDO,NEAR HKL",530000,AMPANG,Apartments,1050,3,2,Low,504.76190476190476
43,SMART LIVING HOME Mutiara Merdeka Condominium Ampang Kuala Lumpur,650000,AMPANG,Apartments,1390,4,3,Low,467.62589928057554
44,"Impiana condo Ampang, Duplex Corner Penthouse",1780000,AMPANG,Apartments,3735,5,5,Low,476.57295850066936
45,FULL LOANCASH BACK SemiFurnish 705sf The Elements Condo Ampang KL City,445000,AMPANG,Apartments,705,1,1,Low,631.2056737588653
46,BrandNew Complete Hon Residence Ampang 3R3B 5MIN To KLCC Cashback 120K,630000,AMPANG,Apartments,1335,3,3,Low,471.91011235955057
47,Impression U Thant U-Thant 931sf Condo Unit for SALE KL City,1650000,AMPANG,Apartments,931,3,2,Low,1772.2878625134265
48,"Impression U-Thant U Thant Studio Unit for SALE, KL City, Jalan Ampang",1388000,AMPANG,Apartments,728,1,1,Low,1906.5934065934066
49,"FULLY FURNISHED Tiara Ampang Condominium, Jalan Ampang 1217sqft",500000,AMPANG,Apartments,1217,3,2,Low,410.84634346754314
50,"Near Tesco Ampang, Sri Angsana Hilir, Desa pandan, Ampang Hilir",300000,AMPANG,Apartments,1226,3,2,Low,244.69820554649266
51,"Good Invest/Ownstay KLCC Project,Easy to LRT/MRT Station Monthly RM800",200000,AMPANG,Apartments,320,1,1,Low,625.0
52,LOW BOOKING Fully Furnished Studio Megan Ambassy KL City Centre,350000,AMPANG,Apartments,385,1,1,Low,909.0909090909091
53,RENO CANTIK Seri Maya Condo Jelatek Near LRT Setiawangsa 1km to KLCC,690000,AMPANG,Apartments,1325,3,2,Low,520.7547169811321
54,Kojaya Condo 923sf 4R2B High floor 1cp Ampang KL,378000,AMPANG,Apartments,923,3,2,Low,409.534127843987
55,KLCC VIEW. BALCONY. BEAUTIFUL ID. F-FURNISHED. WALK-LRT. Suria Jelatek,630000,AMPANG,Apartments,1421,3,2,Low,443.3497536945813
56,Corner Unit Luxury Condo The Elements Ampang,900000,AMPANG,Apartments,1572,4,3,Low,572.5190839694657
57,"Fully furnished m-suite, kuala lumpur",565000,AMPANG,Apartments,502,1,1,Low,1125.4980079681275
58,"M City Serviced Residence Jalan Ampang , Ampang Hilir",690000,AMPANG,Apartments,886,2,2,Low,778.7810383747178
59,Awesome Flat For Sales Grab IT Cahaya Flat,150000,AMPANG,Apartments,700,2,2,Low,214.28571428571428
60,[Below Market 34%] Duplex M City Jalan Ampang 1041sf Ampang Hilir,496000,AMPANG,Apartments,1041,2,2,Low,476.46493756003844
61,[Below Market 44%] Astoria Ampang 747sf,392000,AMPANG,Apartments,747,2,2,Low,524.7657295850067
62,FREEHOLD | GCB Court Condo | 1925sqft | Non Bumi | BELOW PRICE,620000,AMPANG,Apartments,1925,4,3,Low,322.0779220779221
63,TERMURAH LEVEL 1 Pangsapuri PKNS Ampang Jaya Jalan 4M,235000,AMPANG,Apartments,755,3,2,Low,311.2582781456954
64,"(LEVEL 1)HOT UNIT Pandan Lake View Apartment, Pandan Perdana Ampang KL",310000,AMPANG,Apartments,856,3,2,Low,362.14953271028037
65,BELOW MV MURAH Menara Polo Desa Pandan Kuala Lumpur Jom View,455000,AMPANG,Apartments,1485,3,2,Low,306.3973063973064
66,Suria Jelatek Residence - 1420sf - Near LRT - Limited unit Ampang,600000,AMPANG,Apartments,1420,3,2,Low,422.53521126760563
67,RENOVATED 1089 SQFT Suria Jelatek Residence Jalan Jelatek Kuala Lumpur,530000,AMPANG,Apartments,1089,3,2,Low,486.6850321395776
