area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,property_url,purpose,city,locality,address,id,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone,price_per_sqft
2464.0,Apartment,Residential,4.0,3.0,28900000.0,https://www.bproperty.com/en/property/details-1915536.html,Sale,Dhaka,Dhanmondi,Unknown,bproperty-1,1,2,1,1,3,3,4,Dhaka,Dhanmondi,11728.896103896104
1920.0,Apartment,Residential,3.0,3.0,20000000.0,https://www.bproperty.com/en/property/details-4898362.html,Sale,Dhaka,Bashundhara R-A,Block J,bproperty-3,1,1,2,1,3,2,3,Dhaka,Bashundhara R/A,10416.666666666666
1445.0,Apartment,Residential,3.0,3.0,10800000.0,https://www.bproperty.com/en/property/details-5379933.html,Sale,Dhaka,Banasree,"Block M, South Banasree Project",bproperty-4,1,2,2,1,1,3,4,Dhaka,Khilgaon,7474.048442906575
1475.0,Apartment,Residential,3.0,3.0,10500000.0,https://www.bproperty.com/en/property/details-2050773.html,Sale,Dhaka,Uttara,Sector 10,bproperty-7,1,2,3,1,3,3,4,Dhaka,Uttara,7118.64406779661
1066.0,Apartment,Residential,2.0,3.0,8000000.0,https://www.bproperty.com/en/property/details-4565474.html,Sale,Dhaka,Sutrapur,Narinda,bproperty-8,1,1,2,1,4,3,4,Dhaka,Sutrapur,7504.6904315197
950.0,Apartment,Residential,2.0,2.0,5000000.0,https://www.bproperty.com/en/property/details-3359666.html,Sale,Dhaka,Mirpur,Unknown,bproperty-9,1,1,2,1,5,2,3,Dhaka,Mirpur,5263.1578947368425
1075.0,Apartment,Residential,3.0,3.0,5700000.0,https://www.bproperty.com/en/property/details-5565705.html,Sale,Dhaka,Badda,Uttar Badda,bproperty-11,1,1,2,1,1,3,3,Dhaka,Badda,5302.325581395349
1600.0,Apartment,Residential,3.0,3.0,13100000.0,https://www.bproperty.com/en/property/details-5565615.html,Sale,Dhaka,Rampura,East Rampura,bproperty-12,1,2,2,1,2,3,3,Dhaka,Khilgaon,8187.5
750.0,Apartment,Residential,2.0,3.0,4900000.0,https://www.bproperty.com/en/property/details-4501697.html,Sale,Dhaka,Mirpur,"Paikpara, Ahmed Nagar",bproperty-14,4,2,2,1,4,2,4,Dhaka,Mirpur,6533.333333333333
1522.0,Apartment,Residential,3.0,3.0,11000000.0,https://www.bproperty.com/en/property/details-3489455.html,Sale,Dhaka,Mirpur,Pallabi,bproperty-15,1,2,2,1,2,1,4,Dhaka,Mirpur,7227.332457293035
1150.0,Apartment,Residential,3.0,3.0,8600000.0,https://www.bproperty.com/en/property/details-1882956.html,Sale,Dhaka,Rampura,East Rampura,bproperty-16,1,1,1,1,3,3,4,Dhaka,Khilgaon,7478.260869565217
1735.0,Apartment,Residential,3.0,3.0,12500000.0,https://www.bproperty.com/en/property/details-3012732.html,Sale,Dhaka,Mohammadpur,Pc Culture Housing,bproperty-17,1,1,1,1,3,1,4,Dhaka,Mohammadpur,7204.610951008645
1002.0,Apartment,Residential,2.0,2.0,6800000.0,https://www.bproperty.com/en/property/details-5556560.html,Sale,Dhaka,Rampura,"East Hazipara, East Rampura",bproperty-19,1,2,2,1,2,1,3,Dhaka,Khilgaon,6786.427145708582
1700.0,Apartment,Residential,4.0,4.0,10000000.0,https://www.bproperty.com/en/property/details-5536277.html,Sale,Dhaka,Mirpur,Rupnagar R/A,bproperty-23,1,2,2,1,2,1,4,Dhaka,Mirpur,5882.35294117647
2000.0,Apartment,Residential,3.0,3.0,22500000.0,https://www.bproperty.com/en/property/details-3640387.html,Sale,Dhaka,Bashundhara R-A,Block D,bproperty-24,2,2,2,1,4,3,4,Dhaka,Bashundhara R/A,11250.0
