area,num_bath_rooms,num_bed_rooms,price,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,price_per_sqft
2464,4,3,28900000,61,1,2,1,1,3,3,4,11728.8961
1920,3,3,20000000,37,1,1,2,1,3,2,3,10416.66667
1445,3,3,10800000,25,1,2,2,1,1,3,4,7474.048443
1475,3,3,10500000,178,1,2,3,1,3,3,4,7118.644068
1066,2,3,8000000,166,1,1,2,1,4,3,4,7504.690432
950,2,2,5000000,118,1,1,2,1,5,2,3,5263.157895
1075,3,3,5700000,20,1,1,2,1,1,3,3,5302.325581
1600,3,3,13100000,145,1,2,2,1,2,3,3,8187.5
750,2,3,4900000,118,4,2,2,1,4,2,4,6533.333333
1522,3,3,11000000,118,1,2,2,1,2,1,4,7227.332457
1150,3,3,8600000,145,1,1,1,1,3,3,4,7478.26087
1735,3,3,12500000,122,1,1,1,1,3,1,4,7204.610951
1002,2,2,6800000,145,1,2,2,1,2,1,3,6786.427146
1700,4,4,10000000,118,1,2,2,1,2,1,4,5882.352941
2000,3,3,22500000,37,2,2,2,1,4,3,4,11250
1368,3,3,12000000,162,5,1,2,1,5,3,3,8771.929825
2318,4,4,21000000,37,1,1,2,1,3,3,3,9059.534081
1735,3,4,13800000,25,4,2,3,2,5,3,3,7953.89049
11500,10,21,81000000,25,1,2,1,1,1,3,3,7043.478261
1550,3,3,12200000,15,3,1,1,1,3,3,3,7870.967742
1550,3,3,12200000,15,1,1,1,1,3,3,3,7870.967742
1627,3,3,17400000,178,1,1,1,1,1,2,3,10694.52981
1150,3,3,8900000,145,1,2,2,1,4,3,3,7739.130435
1522,3,3,11000000,118,1,2,2,1,2,3,4,7227.332457
1120,3,3,6200000,122,1,2,1,2,3,2,3,5535.714286
2215,4,3,22000000,37,1,2,2,1,3,2,4,9932.27991
1400,3,3,12000000,37,1,1,2,1,3,2,3,8571.428571
1170,3,3,8900000,145,1,2,2,1,4,3,3,7606.837607
800,2,2,4250000,122,1,1,1,1,2,2,3,5312.5
1650,3,3,11700000,145,1,2,2,1,2,2,3,7090.909091
1550,3,3,11200000,145,1,2,2,1,2,3,3,7225.806452
1009,3,3,6500000,118,1,1,2,1,3,3,4,6442.021804
