City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking,Basement,Exterior,Fireplace,Heating,Flooring,Roof,Waterfront,Sewer,Pool,Garden,Balcony
Revelstoke,BC,50.9765854,-118.1731491,839000.0,3.0,2.0,0.0,Condo,891.0,Yes,Yes,,,No,heat pump,carpet,,No,municipal,No,No,No
Boswell,BC,49.4718704,-116.770195,1150000.0,3.0,2.0,0.32,Single Family,1881.0,Yes,Yes,,,No,heat pump,,,No,septic,No,No,No
West Kelowna,BC,49.8252302,-119.6032534,149000.0,2.0,1.0,0.0,Single Family,912.0,No,No,,Metal,No,,laminate,tar,No,municipal,No,No,No
Kelowna,BC,49.8218597,-119.4801428,1298000.0,5.0,4.0,0.69,Single Family,4374.0,Yes,No,,,Yes,forced air,,,No,municipal,No,No,No
Maple Ridge,BC,49.2216734,-122.5966374,759900.0,3.0,2.0,0.0,Condo,1254.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Calgary,AB,50.919422,-113.8956088,749800.0,4.0,3.0,0.07,Single Family,2047.0,Yes,No,Finished,,Yes,forced air,tile,asphalt,No,none,No,Yes,Yes
Camrose,AB,53.030235,-112.844933,385000.0,5.0,3.0,0.13,Single Family,1330.0,Yes,No,Finished,,No,forced air,carpet,asphalt,No,none,No,No,No
Airdrie,AB,51.2776423,-114.0239114,499000.0,3.0,3.0,0.06,Duplex,1496.0,Yes,No,Finished,,No,forced air,carpet,asphalt,No,none,No,Yes,No
Calgary,AB,51.1380993,-113.9379131,739900.0,6.0,4.0,0.08,Single Family,1916.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,none,No,No,No
Qualicum Beach,BC,49.346396,-124.4445,549000.0,2.0,2.0,0.0,Condo,1122.0,No,No,,,No,radiant,tile,,No,municipal,No,Yes,No
Saskatoon,SK,52.1188826,-106.6058988,499000.0,4.0,3.0,0.16,Single Family,1167.0,Yes,No,Finished,Vinyl,No,forced air,,asphalt,No,none,No,No,No
Campbell River,BC,49.98087,-125.239777,859000.0,4.0,3.0,0.19,Single Family,1260.0,Yes,Yes,No basement,,Yes,radiant,,asphalt,No,municipal,No,No,No
Castor,AB,52.221797,-111.909955,230000.0,4.0,2.0,0.21,Single Family,1056.0,No,No,Finished,,No,forced air,tile,asphalt,No,municipal,No,No,No
Red Deer,AB,52.2782611,-113.7505506,699900.0,4.0,4.0,0.17,Single Family,2158.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,none,No,No,No
Lethbridge,AB,49.6905934,-112.7932236,1379000.0,3.0,3.0,0.32,Single Family,1875.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,none,No,Yes,No
Vancouver,BC,49.2868444,-123.1241525,1798000.0,2.0,3.0,0.0,Condo,1183.0,Yes,Yes,,,No,forced air,,,No,none,No,No,No
Calgary,AB,51.040985,-114.1248605,1299999.0,5.0,4.0,0.1,Single Family,2425.0,Yes,Yes,Finished,,Yes,forced air,carpet,asphalt,No,none,No,Yes,No
Okotoks,AB,50.70706653,-113.97136227,289900.0,2.0,2.0,0.0,Condo,846.0,No,Yes,,,Yes,radiant,carpet,,No,none,No,No,No
Maple Ridge,BC,49.2058351,-122.6622935,950000.0,3.0,2.0,0.17,Single Family,2107.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Medicine Hat,AB,49.9988883,-110.68043,535000.0,5.0,3.0,0.15,Single Family,1430.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,none,No,Yes,No
Qualicum Beach,BC,49.3506072,-124.3829928,1198500.0,3.0,2.0,0.13,Single Family,1886.0,Yes,Yes,No basement,,Yes,heat pump,carpet,asphalt,No,municipal,No,Yes,Yes
Calgary,AB,51.04197469,-114.07318183,489000.0,2.0,2.0,0.0,Condo,1044.0,No,Yes,,,No,,laminate,,No,none,No,No,Yes
Calgary,AB,51.02243,-114.1087931,302888.0,1.0,1.0,0.0,Condo,484.0,No,Yes,,,No,forced air,wood,,No,none,No,No,No
Red Deer,AB,52.2422196,-113.7864288,890000.0,3.0,4.0,0.17,Single Family,2305.0,Yes,No,Finished,,Yes,forced air,carpet,tile,No,none,No,No,No
Surrey,BC,49.192983,-122.8499985,619000.0,2.0,2.0,0.0,Condo,803.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Calgary,AB,51.1650934,-113.94381149,409500.0,2.0,3.0,0.0,Townhome,1131.0,Yes,No,,,No,forced air,carpet,asphalt,No,none,No,No,No
Calgary,AB,51.062183,-113.9243775,539999.0,3.0,2.0,0.07,Single Family,1239.0,No,No,Finished,,No,forced air,carpet,asphalt,No,none,No,No,No
Langley,BC,49.1659693,-122.5928148,3798600.0,6.0,6.0,0.24,Single Family,6606.0,Yes,No,,,Yes,forced air,,,No,none,No,No,No
Grande Prairie,AB,55.1387749,-118.7730331,227000.0,3.0,1.0,0.08,Duplex,1003.0,No,Yes,Finished,,No,forced air,carpet,asphalt,No,none,No,Yes,No
Fort Macleod,AB,49.7192274,-113.4028476,375000.0,3.0,2.0,0.15,Single Family,827.0,Yes,Yes,Finished,,No,forced air,other,asphalt,No,none,No,Yes,No
Lethbridge,AB,49.6570725,-112.8619537,529000.0,4.0,3.0,0.11,Single Family,1486.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,none,No,Yes,No
Grande Prairie,AB,55.19123242,-118.80270988,325000.0,2.0,2.0,0.0,Condo,1106.0,No,Yes,,,No,radiant,laminate,,No,none,No,No,No
Nanaimo,BC,49.1875094,-123.9907192,529900.0,2.0,2.0,0.0,Condo,1070.0,No,Yes,,,Yes,radiant,other,,No,municipal,No,No,Yes
Calgary,AB,50.8897717,-114.0399111,699900.0,4.0,4.0,0.09,Single Family,1797.0,Yes,No,Finished,,Yes,forced air,vinyl,asphalt,No,none,No,No,No
Whaletown,BC,50.116746,-125.035334,1325000.0,3.0,2.0,14.43,Single Family,1976.0,No,Yes,,,Yes,heat pump,wood,metal,No,septic,No,Yes,Yes
Rural Foothills County,AB,50.70704319,-113.87354436,1290000.0,5.0,3.0,3.03,Single Family,1834.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,septic,No,Yes,No
Calgary,AB,51.03004025,-114.0681454,255000.0,1.0,1.0,0.0,Condo,672.0,No,Yes,,,No,boiler,carpet,,No,none,No,No,Yes
Unity,SK,52.4479812,-109.1597895,219900.0,4.0,2.0,0.21,Single Family,1268.0,Yes,Yes,Finished,Brick,Yes,forced air,,asphalt,No,none,No,No,No
Calgary,AB,50.8773565,-113.9987305,959000.0,4.0,4.0,0.09,Single Family,2121.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,none,No,No,No
Rural Camrose County,AB,52.96357951,-112.83290144,429000.0,3.0,3.0,5.09,Single Family,1354.0,Yes,Yes,Finished,,Yes,forced air,carpet,asphalt,No,septic,No,Yes,No
